player=1,SET:ABCH
player=0,SET:FCBG
player=0,MOV:A,W
player=1,MOV:D,NORTH
player=0,MOV:B,W
player=1,MOV:H,EAST
player=0,MOV:C,W
player=1,MOV:B,NORTH
player=0,MOV:A,S
player=1,MOV:H,NORTH
player=0,MOV:D,N
player=1,MOV:A,EAST
player=0,MOV:D,N
player=1,MOV:B,WEST
player=0,MOV:B,W
player=1,MOV:B,WEST
player=0,MOV:H,E
player=1,MOV:C,EAST
player=0,MOV:C,W
player=1,MOV:A,EAST
player=0,MOV:H,W
player=1,MOV:A,NORTH
player=0,MOV:F,N
player=1,MOV:B,NORTH
player=0,MOV:H,E
player=1,MOV:A,WEST
player=0,MOV:F,S
player=1,MOV:A,EAST
player=0,MOV:F,N
player=1,MOV:D,NORTH
player=0,MOV:C,N
player=1,MOV:H,NORTH
player=0,MOV:G,W
player=1,MOV:C,NORTH
player=0,MOV:F,W
player=1,MOV:B,NORTH
player=0,MOV:H,N
player=1,MOV:H,NORTH
player=0,MOV:C,W
player=1,MOV:E,NORTH
player=0,MOV:H,S
player=1,MOV:E,WEST
player=0,MOV:H,N
player=1,MOV:E,EAST
player=0,MOV:H,S
player=1,MOV:A,NORTH
player=0,MOV:G,N
player=1,MOV:A,EAST
player=0,MOV:C,E
player=1,MOV:F,NORTH
player=0,MOV:C,W
player=1,MOV:E,NORTH
player=0,MOV:G,E
player=1,MOV:G,NORTH
player=0,MOV:G,W
player=1,MOV:E,WEST
player=0,MOV:H,N
player=1,MOV:C,WEST
player=0,MOV:G,S
player=1,MOV:C,EAST
player=0,MOV:G,N
player=1,MOV:C,NORTH
player=0,MOV:C,E
winner=0
