player=0,SET:ABCE
player=1,SET:FCBG
player=0,MOV:A,NORTH
player=1,MOV:E,W
player=0,MOV:A,NORTH
player=1,MOV:D,N
player=0,MOV:D,EAST
player=1,MOV:A,W
player=0,MOV:D,NORTH
player=1,MOV:D,S
player=0,MOV:D,WEST
player=1,MOV:B,W
player=0,MOV:B,NORTH
player=1,MOV:B,S
player=0,MOV:C,WEST
player=1,MOV:H,E
player=0,MOV:B,EAST
player=1,MOV:C,W
player=0,MOV:E,NORTH
player=1,MOV:D,S
player=0,MOV:D,EAST
player=1,MOV:C,W
player=0,MOV:C,NORTH
player=1,MOV:C,N
player=0,MOV:E,WEST
player=1,MOV:H,N
player=0,MOV:D,WEST
player=1,MOV:C,N
player=0,MOV:B,EAST
player=1,MOV:A,N
player=0,MOV:C,WEST
player=1,MOV:D,E
player=0,MOV:H,NORTH
player=1,MOV:A,N
player=0,MOV:B,EAST
player=1,MOV:E,N
player=0,MOV:G,EAST
player=1,MOV:D,W
player=0,MOV:E,EAST
player=1,MOV:D,E
player=0,MOV:E,EAST
player=1,MOV:B,W
player=0,MOV:H,NORTH
player=1,MOV:E,E
player=0,MOV:C,EAST
player=1,MOV:E,W
player=0,MOV:H,NORTH
player=1,MOV:F,W
player=0,MOV:E,EAST
player=1,MOV:G,W
player=0,MOV:H,WEST
player=1,MOV:G,N
player=0,MOV:H,NORTH
player=1,MOV:F,N
player=0,MOV:E,WEST
player=1,MOV:E,N
player=0,MOV:C,EAST
player=1,MOV:F,N
player=0,MOV:H,NORTH
player=1,MOV:F,S
player=0,MOV:B,WEST
player=1,MOV:F,S
player=0,MOV:E,NORTH
player=1,MOV:B,N
player=0,MOV:E,WEST
player=1,MOV:B,S
player=0,MOV:H,WEST
player=1,MOV:E,N
player=0,MOV:B,EAST
player=1,MOV:B,N
player=0,MOV:F,EAST
player=1,MOV:F,W
player=0,MOV:C,NORTH
player=1,MOV:H,N
player=0,MOV:E,EAST
player=1,MOV:H,S
player=0,MOV:B,WEST
player=1,MOV:B,E
player=0,MOV:F,NORTH
player=1,MOV:B,S
player=0,MOV:C,NORTH
player=1,MOV:B,N
player=0,MOV:B,EAST
player=1,MOV:B,S
player=0,MOV:F,EAST
player=1,MOV:B,N
player=0,MOV:E,WEST
player=1,MOV:H,N
player=0,MOV:E,EAST
player=1,MOV:H,S
